question,answer
What is the chemical symbol for potassium?,K
Who wrote The Odyssey?,Homer
How many eyes does a spider typically have?,8
What year did the French Revolution begin?,1789
What is the capital of Italy?,Rome
What is the atomic number of hydrogen?,1
Who discovered America?,Christopher Columbus
How many strings does a standard guitar have?,6
What is the chemical symbol for calcium?,Ca
What is the capital of Spain?,Madrid
Who invented gunpowder?,Chinese inventors
What is the largest desert in the world?,Sahara
How many seconds are in an hour?,3600
What is the capital of Turkey?,Ankara
What is the chemical symbol for chlorine?,Cl
Who wrote Moby Dick?,Herman Melville
What year was the Eiffel Tower built?,1889
What is the capital of South Africa?,Pretoria
How many planets have rings?,4
Who invented the printing press?,Johannes Gutenberg
What is the chemical formula for table salt?,NaCl
What is the capital of Greece?,Athens
What is the longest bone in the human body?,Femur
Who wrote War and Peace?,Leo Tolstoy
How many chambers does a bird heart have?,4
What year did World War I begin?,1914
What is the capital of Sweden?,Stockholm
What is the atomic number of gold?,79
Who invented dynamite?,Alfred Nobel
How many ribs does a human have?,24
What is the capital of Norway?,Oslo
What is the chemical symbol for lead?,Pb
Who wrote Crime and Punishment?,Fyodor Dostoevsky
What is the diameter of Earth?,12742 kilometers
How many days are in a leap year?,366
What is the capital of Portugal?,Lisbon
Who invented the microscope?,Antonie van Leeuwenhoek
What is the chemical symbol for copper?,Cu
What year was the United Nations founded?,1945
What is the capital of Netherlands?,Amsterdam
How many moons does Mars have?,2
Who wrote The Canterbury Tales?,Geoffrey Chaucer
What is the speed of light in km/s?,300000 km/s
What is the capital of Poland?,Warsaw
What is the atomic number of uranium?,92
Who invented the radio?,Guglielmo Marconi
How many keys does a standard piano have?,88
What is the capital of Czech Republic?,Prague
What is the chemical symbol for magnesium?,Mg
Who wrote Frankenstein?,Mary Shelley
What year was the Magna Carta signed?,1215
What is the capital of Hungary?,Budapest
How many bones are in the human hand?,27
Who invented the compass?,Chinese inventors
What is the chemical symbol for zinc?,Zn
What is the capital of Romania?,Bucharest
What is the largest moon of Saturn?,Titan
Who wrote The Iliad?,Homer
How many valence electrons does carbon have?,4
What year was Shakespeare born?,1564
What is the capital of Ukraine?,Kyiv
What is the chemical symbol for tin?,Sn
Who invented the telescope?,Galileo Galilei
How many liters of blood does the human body contain?,5 liters
What is the capital of Austria?,Vienna
What is the distance from Earth to the Moon?,384400 kilometers
Who wrote The Divine Comedy?,Dante Alighieri
How many bones are in the human foot?,26
What year did the Roman Empire fall?,476
What is the capital of Switzerland?,Bern
What is the chemical symbol for mercury?,Hg
Who invented the battery?,Alessandro Volta
How many chromosomes does a dog have?,78
What is the capital of Denmark?,Copenhagen
What is the tallest waterfall in the world?,Angel Falls
Who wrote Anna Karenina?,Leo Tolstoy
How many ounces are in a pound?,16
What year was the Gutenberg Bible printed?,1455
What is the capital of Finland?,Helsinki
What is the chemical symbol for fluorine?,F
Who discovered X-rays?,Wilhelm Roentgen
How many bones does a newborn baby have?,270
What is the capital of Belgium?,Brussels
What is the largest moon of Jupiter?,Ganymede
Who wrote Les Misérables?,Victor Hugo
How many degrees are in a right angle?,90
What year did Columbus reach America?,1492
What is the capital of Ireland?,Dublin
What is the chemical formula for glucose?,C6H12O6
Who discovered radium?,Marie Curie
How many bones are in the human arm?,3
What is the capital of New Zealand?,Wellington
What is the speed of Earth around the Sun?,107000 kilometers per hour
Who wrote Dracula?,Bram Stoker
How many neurons are in the human brain?,86 billion
What year was the Eiffel Tower completed?,1889
What is the capital of Scotland?,Edinburgh
What is the chemical symbol for chromium?,Cr
Who invented the calculator?,Blaise Pascal
How many chambers does a fish heart have?,2
What is the capital of Wales?,Cardiff
What is the largest lake in Africa?,Lake Victoria
Who wrote The Brothers Karamazov?,Fyodor Dostoevsky
How many bytes are in a kilobyte?,1024
What year was the first iPhone released?,2007
What is the capital of Singapore?,Singapore
What is the chemical symbol for cobalt?,Co
Who invented bifocals?,Benjamin Franklin
How many strings does a violin have?,4
What is the capital of Thailand?,Bangkok
What is the distance from Earth to the Sun?,150 million kilometers
Who wrote The Count of Monte Cristo?,Alexandre Dumas
How many bones are in the spine?,33
What year was the Theory of Relativity published?,1905
What is the capital of Vietnam?,Hanoi
What is the chemical formula for methane?,CH4
Who discovered the electron?,J.J. Thomson
How many legs does an insect have?,6
What is the capital of Malaysia?,Kuala Lumpur
What is the largest island in the world?,Greenland
Who wrote Oliver Twist?,Charles Dickens
How many minutes are in a degree of latitude?,60
What year was the telephone invented?,1876
What is the capital of Indonesia?,Jakarta
What is the chemical symbol for manganese?,Mn
Who invented the transistor?,William Shockley
How many chambers are in the human heart?,4
What is the capital of Philippines?,Manila
What is the atomic number of oxygen?,8
Who wrote The Picture of Dorian Gray?,Oscar Wilde
How many bones are in the human leg?,4
What year was the Eiffel Tower opened?,1889
What is the capital of Colombia?,Bogota
What is the chemical formula for ammonia?,NH3
Who discovered DNA structure?,James Watson and Francis Crick
How many planets are closer to the Sun than Earth?,2
What is the capital of Peru?,Lima
What is the largest artery in the human body?,Aorta
Who wrote Gulliver's Travels?,Jonathan Swift
How many vertices does a cube have?,8
What year was the Hubble Space Telescope launched?,1990
What is the capital of Chile?,Santiago
What is the chemical symbol for nickel?,Ni
Who invented the diesel engine?,Rudolf Diesel
How many pairs of chromosomes do humans have?,23
What is the capital of Venezuela?,Caracas
What is the farthest planet from the Sun?,Neptune
Who wrote The Scarlet Letter?,Nathaniel Hawthorne
How many edges does a cube have?,12
What year was the atomic bomb first tested?,1945
What is the capital of Pakistan?,Islamabad
What is the chemical symbol for titanium?,Ti
Who discovered the law of gravity?,Isaac Newton
How many teeth does a dog have?,42
What is the capital of Bangladesh?,Dhaka
What is the fastest land animal?,Cheetah
Who wrote The Catcher in the Rye?,J.D. Salinger
How many faces does a cube have?,6
What year was the Great Wall of China built?,221 BC
What is the capital of Nigeria?,Abuja
What is the chemical formula for carbon dioxide?,CO2
Who invented the World Wide Web?,Tim Berners-Lee
How many bones are in the human wrist?,8
What is the capital of Kenya?,Nairobi
What is the deepest lake in the world?,Lake Baikal
Who wrote Brave New World?,Aldous Huxley
How many pints are in a gallon?,8
What year was electricity discovered?,1752
What is the capital of Ethiopia?,Addis Ababa
What is the chemical symbol for argon?,Ar
Who invented the combustion engine?,Nikolaus Otto
How many muscles are in the human body?,over 600
What is the capital of Ghana?,Accra
What is the largest organ in the human brain?,Cerebrum
Who wrote The Sound and the Fury?,William Faulkner
How many seconds are in a day?,86400
What year was Pluto discovered?,1930
What is the capital of Morocco?,Rabat
What is the chemical formula for sulfuric acid?,H2SO4
Who invented the helicopter?,Igor Sikorsky
How many pairs of ribs are attached to the sternum?,7
What is the capital of Tanzania?,Dodoma
What is the longest muscle in the body?,Sartorius
Who wrote One Hundred Years of Solitude?,Gabriel Garcia Marquez
How many zeros are in a trillion?,12
What year was the first computer invented?,1943
What is the capital of Algeria?,Algiers
What is the chemical symbol for barium?,Ba
Who discovered the neutron?,James Chadwick
How many bones are in the human neck?,7
What is the capital of Iraq?,Baghdad
What is the most abundant gas in Earth's atmosphere?,Nitrogen
Who wrote The Old Man and the Sea?,Ernest Hemingway
How many feet are in a mile?,5280
What year was the first satellite launched?,1957
What is the capital of Iran?,Tehran
What is the chemical symbol for neon?,Ne
Who invented the sewing machine?,Elias Howe
How many days are in February in a leap year?,29
What is the capital of Saudi Arabia?,Riyadh
What is the smallest bone in the human body?,Stapes
Who wrote Lolita?,Vladimir Nabokov
How many sides does a pentagon have?,5
What year was the French Revolution?,1789
What is the capital of UAE?,Abu Dhabi
What is the chemical formula for hydrochloric acid?,HCl
Who discovered the proton?,Ernest Rutherford
How many bones are in the human pelvis?,3
What is the capital of Kuwait?,Kuwait City
What is the planet with the most moons?,Saturn
Who wrote To Kill a Mockingbird?,Harper Lee
How many ounces are in a kilogram?,35.274
What year was the first heart transplant?,1967
What is the capital of Qatar?,Doha
What is the chemical symbol for xenon?,Xe
Who invented the parachute?,André-Jacques Garnerin
How many muscles are used to walk?,200
What is the capital of Jordan?,Amman
What is the largest volcano on Earth?,Mauna Loa
Who wrote The Grapes of Wrath?,John Steinbeck
How many days does Earth take to orbit the Sun?,365.25
What year did the Soviet Union collapse?,1991
What is the capital of Lebanon?,Beirut
What is the chemical formula for ethanol?,C2H5OH
Who discovered the structure of DNA?,Watson and Crick
How many taste buds does the human tongue have?,10000
What is the capital of Syria?,Damascus
What is the most common blood type?,O positive
Who wrote The Lord of the Rings?,J.R.R. Tolkien
How many inches are in a foot?,12
What year was the telephone patented?,1876
What is the chemical symbol for krypton?,Kr
Who invented the phonograph?,Thomas Edison
How many vertebrae are in the human spine?,33
What is the capital of Yemen?,Sanaa
What is the average temperature of the human body in Celsius?,37
Who wrote Catch-22?,Joseph Heller
How many pounds are in a ton?,2000
What year was the Eiffel Tower designed?,1884
What is the capital of Afghanistan?,Kabul
What is the chemical formula for nitrogen gas?,N2
Who invented the air conditioner?,Willis Carrier
How many bones are in the human ribcage?,24
What is the capital of Myanmar?,Naypyidaw
What is the brightest star visible from Earth?,Sirius
Who wrote Ulysses?,James Joyce
How many cups are in a gallon?,16
What year was the Great Fire of London?,1666
What is the capital of Nepal?,Kathmandu
What is the chemical symbol for iodine?,I
Who discovered the laws of motion?,Isaac Newton
How many teeth does an adult human have including wisdom teeth?,32
What is the capital of Sri Lanka?,Colombo
What is the largest bone in the human body?,Femur
Who wrote The Alchemist?,Paulo Coelho
How many millimeters are in a meter?,1000
What year was the Suez Canal opened?,1869
What is the capital of Cambodia?,Phnom Penh
What is the chemical formula for ozone?,O3
Who invented the microwave oven?,Percy Spencer
How many chromosomes does a cat have?,38
What is the capital of Laos?,Vientiane
What is the coldest planet in the solar system?,Neptune
Who wrote The Adventures of Tom Sawyer?,Mark Twain
How many grams are in a kilogram?,1000
What year was the Panama Canal opened?,1914
What is the capital of Mongolia?,Ulaanbaatar
What is the chemical symbol for radon?,Rn
Who invented the vacuum cleaner?,Hubert Cecil Booth
How many eggs does a human female produce per month?,1
What is the capital of Georgia the country?,Tbilisi
What is the most abundant element in the universe?,Hydrogen
Who wrote Slaughterhouse-Five?,Kurt Vonnegut
How many degrees are in a straight line?,180
What year was the first Olympic Games held?,776 BC
What is the capital of Armenia?,Yerevan
What is the chemical formula for hydrogen peroxide?,H2O2
Who invented the barometer?,Evangelista Torricelli
How many bones are in the human ankle?,7
What is the capital of Azerbaijan?,Baku
What is the hottest planet in the solar system?,Venus
Who wrote The Trial?,Franz Kafka
How many milliliters are in a liter?,1000
What year was the Colosseum built?,80 AD
What is the capital of Kazakhstan?,Astana
What is the chemical symbol for cesium?,Cs
Who invented the gyroscope?,Léon Foucault
How many pairs of cranial nerves do humans have?,12
What is the capital of Uzbekistan?,Tashkent
What is the longest mountain range in the world?,Andes
Who wrote A Tale of Two Cities?,Charles Dickens
How many liters are in a cubic meter?,1000
What year was the pyramids of Giza built?,2560 BC
What is the capital of Turkmenistan?,Ashgabat
What is the chemical formula for bleach?,NaClO
Who invented the zipper?,Whitcomb Judson
How many muscles are in the human face?,43
What is the capital of Kyrgyzstan?,Bishkek
What is the smallest country in the world?,Vatican City
Who wrote The Stranger?,Albert Camus
How many teaspoons are in a tablespoon?,3
What year was the compass invented?,206 BC
What is the capital of Tajikistan?,Dushanbe
What is the chemical symbol for tungsten?,W
Who invented the electric motor?,Michael Faraday
How many bones are in the human thumb?,3
What is the capital of North Korea?,Pyongyang
What is the largest mammal on Earth?,Blue Whale
Who wrote David Copperfield?,Charles Dickens
How many meters are in a kilometer?,1000
What year was the printing press invented?,1440
What is the capital of Cuba?,Havana
What is the chemical formula for nitric acid?,HNO3
Who discovered the law of conservation of energy?,Julius Robert von Mayer
How many muscles does it take to smile?,12
What is the capital of Haiti?,Port-au-Prince
What is the fastest bird in the world?,Peregrine Falcon
Who wrote Gone with the Wind?,Margaret Mitchell
How many centimeters are in a meter?,100
What year was the Colosseum completed?,80 AD
What is the capital of Jamaica?,Kingston
What is the chemical symbol for lithium?,Li
Who invented the cotton gin?,Eli Whitney
How many bones are in the human ear?,3
What is the capital of Trinidad and Tobago?,Port of Spain
What is the largest rainforest in the world?,Amazon
Who wrote Wuthering Heights?,Emily Bronte
How many faces does a dodecahedron have?,12
What year was the first airplane flight?,1903
What is the capital of Bahamas?,Nassau
What is the chemical formula for acetic acid?,CH3COOH
Who invented the thermometer?,Galileo Galilei
How many ribs does a snake have?,up to 400
What is the capital of Barbados?,Bridgetown
What is the deepest point in the ocean?,Mariana Trench
Who wrote The Metamorphosis?,Franz Kafka
How many gallons are in a cubic foot?,7.48
What year was the Eiffel Tower illuminated?,1889
What is the capital of Iceland?,Reykjavik
What is the chemical symbol for strontium?,Sr
Who invented the hovercraft?,Christopher Cockerell
How many muscles are in the human hand?,34
What is the capital of Luxembourg?,Luxembourg City
What is the most spoken language in the world?,Mandarin Chinese
Who wrote Middlemarch?,George Eliot
How many degrees are in a triangle?,180
What year did Einstein publish the Theory of Relativity?,1905
What is the capital of Malta?,Valletta
What is the chemical formula for propane?,C3H8
Who discovered the principle of buoyancy?,Archimedes
How many bones are in the human knee?,3
What is the capital of Cyprus?,Nicosia
What is the lightest element?,Hydrogen
Who wrote The Hobbit?,J.R.R. Tolkien
How many ants are on Earth?,20 quadrillion
What year was the periodic table created?,1869
What is the capital of Liechtenstein?,Vaduz
What is the chemical symbol for boron?,B
Who invented the submarine?,John Philip Holland
How many lobes does the human liver have?,4
What is the capital of Monaco?,Monaco
What is the most dense planet in the solar system?,Earth
Who wrote Invisible Man?,Ralph Ellison
How many tablespoons are in a cup?,16
What year was the telephone invented?,1876
What is the capital of San Marino?,San Marino
What is the chemical formula for methanol?,CH3OH
Who invented the pacemaker?,Wilson Greatbatch
How many muscles are in the human tongue?,8
What is the capital of Andorra?,Andorra la Vella
What is the tallest animal on Earth?,Giraffe
Who wrote Beloved?,Toni Morrison
How many decibels is normal conversation?,60
What year was the first vaccine created?,1796
What is the capital of Vatican City?,Vatican City
What is the chemical symbol for selenium?,Se
Who invented the laser?,Theodore Maiman
How many bones are in the human shoulder?,3
What is the capital of Kosovo?,Pristina
What is the ocean between America and Europe?,Atlantic Ocean
Who wrote Song of Solomon?,Toni Morrison
How many quarts are in a gallon?,4
What year was penicillin discovered?,1928
What is the capital of Montenegro?,Podgorica
What is the chemical formula for butane?,C4H10
Who discovered the photoelectric effect?,Albert Einstein
How many muscles are in the human eye?,6
What is the capital of Bosnia and Herzegovina?,Sarajevo
What is the most reactive metal?,Cesium
Who wrote The Sun Also Rises?,Ernest Hemingway
How many yards are in a mile?,1760
What year was the DNA double helix discovered?,1953
What is the capital of North Macedonia?,Skopje
What is the chemical symbol for gallium?,Ga
Who invented the electric generator?,Michael Faraday
How many bones make up the human skull?,22
What is the capital of Albania?,Tirana
What is the largest gland in the human body?,Liver
Who wrote Middlemarch?,George Eliot
How many feet are in a yard?,3
What year was the Suez Canal built?,1869
What is the capital of Moldova?,Chisinau
What is the chemical formula for lactic acid?,C3H6O3
Who invented the photocopier?,Chester Carlson
How many bones are in the human face?,14
What is the capital of Belarus?,Minsk
What is the fastest fish in the ocean?,Sailfish
Who wrote The Fountainhead?,Ayn Rand
How many tablespoons are in a fluid ounce?,2
What year was the first space station launched?,1971
What is the capital of Latvia?,Riga
What is the chemical symbol for arsenic?,As
Who invented the jet engine?,Frank Whittle
How many liters of air do humans breathe per day?,11000
What is the capital of Lithuania?,Vilnius
What is the most common element in the Earth's crust?,Oxygen
Who wrote The Color Purple?,Alice Walker
How many sides does an octagon have?,8
What year was insulin discovered?,1921
What is the capital of Estonia?,Tallinn
What is the chemical formula for aspirin?,C9H8O4
Who invented the stethoscope?,René Laennec
How many bones are in the human toe?,3
What is the capital of Slovenia?,Ljubljana
What is the second largest continent?,Africa
Who wrote Portnoy's Complaint?,Philip Roth
How many inches are in a yard?,36
What year was the MRI machine invented?,1977
What is the capital of Croatia?,Zagreb
What is the chemical symbol for vanadium?,V
Who invented the typewriter?,Christopher Latham Sholes
How many pounds are in a stone?,14
What is the capital of Slovakia?,Bratislava
What is the deepest ocean?,Pacific Ocean
Who wrote The Bell Jar?,Sylvia Plath
How many acres are in a square mile?,640
What year was aspirin invented?,1899
What is the chemical symbol for indium?,In
Who invented the bifocal lens?,Benjamin Franklin
How many bones are in the human body at birth?,270
What is the capital of Serbia?,Belgrade
What is the most common type of star?,Red Dwarf
Who wrote Native Son?,Richard Wright
How many millimeters are in an inch?,25.4
What year was the Eiffel Tower named a UNESCO site?,1991
What is the capital of Bulgaria?,Sofia
What is the chemical formula for caffeine?,C8H10N4O2
Who invented the mechanical clock?,Yi Xing
How many bones make up the human vertebral column?,33
What is the capital of North Cyprus?,Nicosia
What is the hottest star color?,Blue
Who wrote Beloved?,Toni Morrison
How many teaspoons are in a fluid ounce?,6
What year was Galileo born?,1564
What is the capital of Crimea?,Simferopol
What is the chemical symbol for antimony?,Sb
Who invented the gyrocompass?,Hermann Anschütz-Kaempfe
How many fingers does a human hand have?,5
What is the capital of Transnistria?,Tiraspol
What is the smallest planet in mass?,Mercury
Who wrote The Road?,Cormac McCarthy
How many quarts are in a peck?,8
What year was the periodic table completed?,1869
What is the chemical symbol for bismuth?,Bi
Who invented the escapement clock?,Yi Xing
How many muscles are in the human calf?,2
What is the largest gland in the human body?,Liver
What is the capital of Abkhazia?,Sukhumi
Who wrote Blood Meridian?,Cormac McCarthy
How many decimeters are in a meter?,10
What year was radar invented?,1935
What is the chemical symbol for tellurium?,Te
Who invented the synthesizer?,Robert Moog
How many bones are in the human forearm?,2
What is the capital of South Ossetia?,Tskhinvali
What is the closest galaxy to the Milky Way?,Andromeda Galaxy
Who wrote The Power and the Glory?,Graham Greene
How many inches are in a meter?,39.37
What year was the first test tube baby born?,1978
What is the chemical symbol for hafnium?,Hf
Who invented the mechanical loom?,Edmund Cartwright
How many pairs of salivary glands do humans have?,3
What is the capital of Nagorno-Karabakh?,Stepanakert
What is the brightest planet visible from Earth?,Venus
Who wrote Midnight's Children?,Salman Rushdie
How many liters are in a barrel of oil?,159
What year was the Great Wall of China finished?,1644
What is the chemical symbol for zirconium?,Zr
Who invented the seismograph?,Zhang Heng
How many bones are in the human finger?,3
What is the largest planet by mass?,Jupiter
Who wrote The English Patient?,Michael Ondaatje
How many square feet are in an acre?,43560
What year was the Hubble launched?,1990
What is the chemical symbol for niobium?,Nb
Who invented the barbed wire?,Joseph Glidden
How many muscles are in the human upper arm?,4
What is the largest moon in the solar system?,Ganymede
Who wrote The Tin Drum?,Günter Grass
How many rods are in an acre?,160
What year was the International Space Station launched?,1998
What is the chemical symbol for molybdenum?,Mo
Who invented the cotton candy machine?,William Morrison
How many bones are in the human hip?,3
What is the planet with the longest day?,Venus
Who wrote The Naked and the Dead?,Norman Mailer
How many square meters are in a hectare?,10000
What year was the steam locomotive invented?,1804
What is the chemical symbol for technetium?,Tc
Who invented the escalator?,Jesse Reno
How many muscles are in the human chest?,4
What is the planet with the shortest year?,Mercury
Who wrote The Maltese Falcon?,Dashiell Hammett
How many kilometers are in a light year?,9461000000000
What year was the first commercial airplane flight?,1914
What is the chemical symbol for ruthenium?,Ru
Who invented the accordion?,Cyrill Demian
How many bones are in the human knee joint?,3
What is the brightest object in the universe?,Quasar
Who wrote The Big Sleep?,Raymond Chandler
How many cups are in a pint?,2
What year was the first diesel locomotive?,1912
What is the chemical symbol for rhodium?,Rh
Who invented the digital camera?,Steven Sasson
How many muscles are in the human neck?,20
What is the most common metal on Earth?,Aluminum
Who wrote For Whom the Bell Tolls?,Ernest Hemingway
How many meters are in a nautical mile?,1852
What year was the first nuclear power plant?,1954
What is the chemical symbol for palladium?,Pd
Who invented the electric fan?,Schuyler Wheeler
How many bones are in the human wrist and hand?,27
What is the second most spoken language?,Spanish
Who wrote As I Lay Dying?,William Faulkner
How many miles are in a light year?,5878625000000
What year was the microwave oven invented?,1945
What is the chemical symbol for cadmium?,Cd
Who invented the dishwasher?,Josephine Cochrane
How many muscles are in the human foot?,20
What is the most common mineral in the Earth's crust?,Feldspar
Who wrote The Sound and the Fury?,William Faulkner
How many pints are in a quart?,2
What year was the first personal computer sold?,1975
What is the chemical symbol for indium?,In
Who invented the contact lens?,Adolf Eugen Fick
How many bones are in the human thumb?,3
What is the galaxy type of the Milky Way?,Spiral
Who wrote Their Eyes Were Watching God?,Zora Neale Hurston
How many tablespoons are in a cup?,16
What year was the first video game invented?,1958
What is the chemical symbol for tin?,Sn
Who invented the hula hoop?,Richard Knerr
How many muscles are in the human back?,40
What is the second largest ocean?,Atlantic Ocean
Who wrote Invisible Man?,Ralph Ellison
How many fluid ounces are in a cup?,8
What year was the first email sent?,1971
What is the chemical symbol for antimony?,Sb
Who invented the fax machine?,Alexander Bain
How many bones are in the human arm including the hand?,30
What is the most abundant mineral in the ocean?,Halite
Who wrote Catch-22?,Joseph Heller
How many cups are in a quart?,4
What year was the first television broadcast?,1926
What is the chemical symbol for bismuth?,Bi
Who invented the cash register?,James Ritty
How many muscles are in the human shoulder?,17
What is the third planet from the Sun?,Earth
Who wrote The Magnificent Ambersons?,Booth Tarkington
How many fluid ounces are in a pint?,16
What year was the first mobile phone call made?,1973
What is the chemical symbol for thallium?,Tl
Who invented the stapler?,Henry R. Heyl
How many bones are in the human lower leg?,2
What is the largest asteroid in the solar system?,Ceres
Who wrote Henderson the Rain King?,Saul Bellow
How many cups are in a half gallon?,8
What year was the first ATM installed?,1967
What is the chemical symbol for lead?,Pb
Who invented the ballpoint pen?,László Bíró
How many muscles are in the human jaw?,8
What is the most distant object visible to the naked eye?,Andromeda Galaxy
Who wrote Humboldt's Gift?,Saul Bellow
How many tablespoons are in a half cup?,8
What year was the first credit card issued?,1950
What is the chemical symbol for bismuth?,Bi
Who invented the lawnmower?,Edwin Budding
How many bones are in the human ankle and foot?,26
What is the second brightest star in the night sky?,Canopus
Who wrote The Adventures of Augie March?,Saul Bellow
How many fluid ounces are in a quart?,32
What year was the first computer mouse invented?,1964
What is the chemical symbol for francium?,Fr
Who invented the spinning jenny?,James Hargreaves
How many muscles are in the human arm?,24
What is the largest spider in the world?,Goliath Birdeater
Who wrote To the Lighthouse?,Virginia Woolf
How many fluid ounces are in a gallon?,128
What year was the barcode invented?,1952
What is the chemical symbol for radium?,Ra
Who invented the rubber band?,Stephen Perry
How many bones are in the human shoulder girdle?,2
What is the third largest ocean?,Indian Ocean
Who wrote Mrs Dalloway?,Virginia Woolf
How many tablespoons are in a pint?,32
What year was the first skyscraper built?,1885
What is the chemical symbol for actinium?,Ac
Who invented the metronome?,Johann Nepomuk Mälzel
How many muscles are in the human thigh?,4
What is the largest living thing on Earth?,Blue Whale
Who wrote The Waves?,Virginia Woolf
