my_query,gold_answer,context_passage
What year did the French Revolution begin?,1789,The French Revolution began in 1789 with the storming of the Bastille fortress in Paris. It was a period of radical political and societal transformation in France.
Who wrote Pride and Prejudice?,Jane Austen,Pride and Prejudice is a romantic novel by Jane Austen published in 1813. It follows Elizabeth Bennet as she deals with issues of manners upbringing morality and marriage.
What is DNA?,Deoxyribonucleic acid that carries genetic information,DNA or deoxyribonucleic acid is a molecule that carries the genetic instructions used in the growth development and functioning of all known living organisms.
What is the capital of Japan?,Tokyo,Tokyo is the capital and most populous city of Japan. Located on the eastern coast of Honshu island it serves as the political economic and cultural center of Japan.
Who was the first person to walk on the moon?,Neil Armstrong,Neil Armstrong became the first human to walk on the Moon on July 20 1969 during the Apollo 11 mission. His famous words were one small step for man one giant leap for mankind.
What is the atomic number of carbon?,6,Carbon has an atomic number of 6 meaning it has 6 protons in its nucleus. It is the basis of all known life and forms millions of compounds with other elements.
What is the longest river in the world?,Nile,The Nile river in Africa is traditionally considered the longest river in the world at approximately 6650 kilometers. It flows northward through northeastern Africa into the Mediterranean Sea.
Who discovered penicillin?,Alexander Fleming,Alexander Fleming discovered penicillin in 1928 when he noticed that mold had contaminated one of his petri dishes and was killing the surrounding bacteria. This led to the development of antibiotics.
What is the capital of Australia?,Canberra,Canberra is the capital city of Australia. Unlike many countries the capital is not the largest city with Sydney and Melbourne both larger. Canberra was purpose-built as a compromise between these rival cities.
What is the hardest natural substance?,Diamond,Diamond is the hardest natural substance on Earth scoring 10 on the Mohs scale of mineral hardness. It is a form of carbon where the atoms are arranged in a crystal structure called diamond cubic.
Who wrote 1984?,George Orwell,1984 is a dystopian novel written by English author George Orwell published in 1949. It depicts a totalitarian society ruled by Big Brother where independent thinking is a crime called thoughtcrime.
What is the square root of 144?,12,The square root of 144 is 12 because 12 multiplied by 12 equals 144. The square root operation finds a number which when multiplied by itself gives the original number.
What is the capital of Germany?,Berlin,Berlin is the capital and largest city of Germany. Located in northeastern Germany it has been the German capital since the country's reunification in 1990 after decades of division.
What causes earthquakes?,Movement of tectonic plates,Earthquakes are caused by the sudden movement of tectonic plates in the Earth's crust. When stress built up along fault lines is released it creates seismic waves that shake the ground.
What is osmosis?,Movement of water through a semipermeable membrane,Osmosis is the movement of water molecules through a semipermeable membrane from an area of lower solute concentration to an area of higher solute concentration.
Who invented the internet?,Tim Berners-Lee,Tim Berners-Lee invented the World Wide Web in 1989 while working at CERN. He proposed an information management system using hypertext to share information across a global network.
What is the capital of Brazil?,Brasilia,Brasilia is the capital of Brazil located in the Federal District in the center-west of the country. It was purpose-built as the new capital and inaugurated in 1960 replacing Rio de Janeiro.
What is mitosis?,Cell division producing two identical daughter cells,Mitosis is the process of cell division in which a single cell divides into two genetically identical daughter cells. It is essential for growth repair and asexual reproduction.
What is the chemical symbol for iron?,Fe,Iron has the chemical symbol Fe derived from the Latin ferrum. It is a metal and the most common element on Earth by mass forming much of Earth's outer and inner core.
Who wrote The Great Gatsby?,F. Scott Fitzgerald,The Great Gatsby is a novel by American author F. Scott Fitzgerald published in 1925. Set in the Jazz Age it tells the story of Jay Gatsby's obsession with Daisy Buchanan.
What is Newton's first law?,An object at rest stays at rest unless acted upon by an external force,Newton's first law of motion states that an object at rest stays at rest and an object in motion stays in motion unless acted upon by a net external force.
What is the capital of India?,New Delhi,New Delhi is the capital of India and a part of the National Capital Territory of Delhi. It serves as the seat of all three branches of the Government of India.
What is the distance from Earth to the Moon?,384400 kilometers,The average distance from Earth to the Moon is approximately 384400 kilometers. This distance varies because the Moon's orbit around Earth is elliptical not perfectly circular.
Who wrote War and Peace?,Leo Tolstoy,War and Peace is a novel by Russian author Leo Tolstoy first published in 1869. It tells the story of five aristocratic families during the Napoleonic Wars and is one of the longest novels ever written.
What is the greenhouse effect?,Warming of Earth caused by trapped heat in the atmosphere,The greenhouse effect is the process by which radiation from the sun is absorbed by greenhouse gases in Earth's atmosphere and re-emitted in all directions warming the planet's surface.
What is the capital of China?,Beijing,Beijing is the capital of the People's Republic of China. It is the nation's political and cultural center and home to the headquarters of most of China's largest state-owned companies.
What is Darwinism?,Theory of evolution by natural selection,Darwinism refers to Charles Darwin's theory of biological evolution through natural selection. The theory states that organisms better adapted to their environment tend to survive and produce more offspring.
What is the chemical formula for table salt?,NaCl,Table salt has the chemical formula NaCl meaning it is composed of sodium and chloride ions. It forms when sodium and chlorine atoms combine in a one-to-one ratio.
Who invented dynamite?,Alfred Nobel,Alfred Nobel invented dynamite in 1867 by mixing nitroglycerin with diatomite. He held 355 patents and used his fortune to establish the Nobel Prizes awarded annually for outstanding contributions to humanity.
What is the capital of Russia?,Moscow,Moscow is the capital and most populous city of Russia. Located on the Moskva River in western Russia it is the political financial and cultural center of the country.
What is photovoltaic energy?,Energy generated from sunlight using solar cells,Photovoltaic energy is electricity generated by converting sunlight into electrical energy using solar cells made of semiconductor materials such as silicon. It is a form of renewable energy.
Who wrote Don Quixote?,Miguel de Cervantes,Don Quixote is a Spanish novel by Miguel de Cervantes published in two parts in 1605 and 1615. It is widely considered the first modern novel and one of the greatest works of literature ever written.
What is the capital of South Korea?,Seoul,Seoul is the capital and largest metropolis of South Korea. Located in the northwest of the Korean Peninsula it is a major financial and cultural hub of Asia.
What is natural selection?,Survival and reproduction of organisms best suited to environment,Natural selection is the mechanism of evolution described by Charles Darwin. Organisms with traits better suited to their environment tend to survive and reproduce more successfully than others.
What is the chemical symbol for silver?,Ag,Silver has the chemical symbol Ag from the Latin argentum. It is a shining white precious metal that has been used for currency jewelry and utensils throughout history.
Who discovered X-rays?,Wilhelm Roentgen,Wilhelm Roentgen discovered X-rays in 1895 while experimenting with cathode ray tubes. He noticed that the rays could penetrate solid objects and create images of bones on photographic plates.
What is the capital of Egypt?,Cairo,Cairo is the capital and largest city of Egypt. Located near the Nile Delta it is one of the oldest cities in the world and the largest city in the Arab world.
What is plate tectonics?,Theory describing movement of Earth's lithospheric plates,Plate tectonics is the scientific theory that Earth's lithosphere is divided into large plates that move and interact with each other. This movement causes earthquakes volcanoes and the formation of mountains.
Who wrote Crime and Punishment?,Fyodor Dostoevsky,Crime and Punishment is a novel by Russian author Fyodor Dostoevsky published in 1866. It follows the story of Raskolnikov a student who commits murder and struggles with guilt and redemption.
What is the capital of Mexico?,Mexico City,Mexico City is the capital of Mexico and the most populous city in North America. Located in the Valley of Mexico it has been a major city since the time of the Aztec Empire.
What is absolute zero?,Lowest possible temperature at minus 273.15 Celsius,Absolute zero is the lowest limit of thermodynamic temperature equal to minus 273.15 degrees Celsius or zero Kelvin. At this temperature particles have minimum thermal motion.
Who invented the printing press?,Johannes Gutenberg,Johannes Gutenberg invented the movable type printing press in Europe around 1440. His invention revolutionized the production of books and contributed to the spread of knowledge during the Renaissance.
What is the capital of Argentina?,Buenos Aires,Buenos Aires is the capital and largest city of Argentina. Located on the western shore of the Rio de la Plata it is the economic and cultural center of Argentina.
What is radioactivity?,Spontaneous emission of radiation from unstable atomic nuclei,Radioactivity is the spontaneous emission of radiation from unstable atomic nuclei as they decay into more stable forms. Types include alpha beta and gamma radiation.
Who wrote The Divine Comedy?,Dante Alighieri,The Divine Comedy is a long narrative poem written by Italian poet Dante Alighieri between 1308 and 1320. It describes Dante's journey through Hell Purgatory and Paradise in three parts called canticles.
What is the capital of Spain?,Madrid,Madrid is the capital and most populous city of Spain. Located in the center of the Iberian Peninsula it is the political economic and cultural center of Spain.
What is quantum mechanics?,Branch of physics dealing with behavior of particles at atomic scale,Quantum mechanics is a fundamental theory in physics that provides a description of the physical properties of nature at the atomic and subatomic scale. It differs dramatically from classical physics.
Who wrote Les Misérables?,Victor Hugo,Les Misérables is a historical novel by French author Victor Hugo published in 1862. Set in 19th century France it follows ex-convict Jean Valjean and his redemption while being pursued by police inspector Javert.
What is the capital of Italy?,Rome,Rome is the capital and largest city of Italy. Located in the central-western portion of the Italian Peninsula it is an ancient city and was the center of the Roman Empire.
What is DNA replication?,Process of copying DNA before cell division,DNA replication is the biological process of producing two identical copies of DNA from one original DNA molecule. It occurs before cell division to ensure each daughter cell receives a complete genome.
Who wrote The Brothers Karamazov?,Fyodor Dostoevsky,The Brothers Karamazov is the final novel by Russian author Fyodor Dostoevsky published in 1879-1880. It addresses questions of God morality and free will through the story of the Karamazov family.
What is the capital of Portugal?,Lisbon,Lisbon is the capital and largest city of Portugal. Located at the mouth of the Tagus River it is one of the oldest cities in Europe with a history stretching back over 3000 years.
What is the law of conservation of energy?,Energy cannot be created or destroyed only transformed,The law of conservation of energy states that the total energy of an isolated system remains constant. Energy can be converted from one form to another but cannot be created or destroyed.
Who wrote Moby Dick?,Herman Melville,Moby Dick is a novel by American author Herman Melville published in 1851. It tells the story of Captain Ahab's obsessive quest to hunt the white sperm whale that had bitten off his leg.
What is the capital of Greece?,Athens,Athens is the capital and largest city of Greece. One of the world's oldest cities it was the center of ancient Greek civilization and is often called the birthplace of democracy.
What is the big bang theory?,Theory that the universe began from a single point about 13.8 billion years ago,The Big Bang theory is the prevailing cosmological model explaining the origin of the universe. It states that the universe began from an extremely hot dense point approximately 13.8 billion years ago and has been expanding ever since.
Who wrote The Canterbury Tales?,Geoffrey Chaucer,The Canterbury Tales is a collection of 24 stories written in Middle English by Geoffrey Chaucer between 1387 and 1400. It depicts a group of pilgrims traveling to Canterbury who tell stories to pass the time.
What is the capital of Turkey?,Ankara,Ankara is the capital of Turkey. While Istanbul is the largest and most famous city Ankara became the capital in 1923 when Mustafa Kemal Ataturk founded the Republic of Turkey.
What is entropy?,Measure of disorder or randomness in a system,Entropy is a concept in thermodynamics that measures the degree of disorder or randomness in a system. According to the second law of thermodynamics the total entropy of an isolated system always increases over time.
Who wrote Anna Karenina?,Leo Tolstoy,Anna Karenina is a novel by Russian author Leo Tolstoy published in 1877. It tells the story of Anna a married socialite who begins an affair with Count Vronsky leading to tragedy.
What is the capital of Sweden?,Stockholm,Stockholm is the capital and largest city of Sweden. Located on the eastern coast of Sweden where Lake Malaren meets the Baltic Sea it is the cultural political and economic center of Sweden.
What is the placebo effect?,Improvement in condition due to belief in treatment rather than the treatment itself,The placebo effect is a phenomenon where a patient experiences a real improvement in their condition after receiving a treatment with no therapeutic value. The improvement is caused by the patient's belief in the treatment.
Who wrote The Odyssey?,Homer,The Odyssey is an ancient Greek epic poem attributed to Homer. It tells the story of Odysseus's ten-year journey home after the fall of Troy encountering mythological creatures and divine intervention.
What is the capital of Norway?,Oslo,Oslo is the capital and most populous city of Norway. Located at the head of the Oslofjord it serves as Norway's political economic and cultural center.
What is the Coriolis effect?,Deflection of moving objects due to Earth's rotation,The Coriolis effect is the apparent deflection of moving objects such as air or water when they are viewed in a rotating reference frame such as the Earth. It causes winds and ocean currents to curve.
Who wrote The Iliad?,Homer,The Iliad is an ancient Greek epic poem attributed to Homer. It tells the story of the final weeks of the Trojan War focusing on the Greek hero Achilles and his conflict with King Agamemnon.
What is the capital of Denmark?,Copenhagen,Copenhagen is the capital and largest city of Denmark. Located on the eastern coast of the island of Zealand it is a major financial and cultural center of the Nordic countries.
What is RNA?,Ribonucleic acid that carries genetic information from DNA to ribosomes,RNA or ribonucleic acid is a molecule that plays a crucial role in gene expression. It carries genetic information from DNA to the ribosomes where proteins are synthesized.
Who wrote The Count of Monte Cristo?,Alexandre Dumas,The Count of Monte Cristo is an adventure novel by French author Alexandre Dumas published in 1844-1846. It follows Edmond Dantes who seeks revenge on those who unjustly imprisoned him.
What is the capital of Finland?,Helsinki,Helsinki is the capital and largest city of Finland. Located on a peninsula in southern Finland on the shore of the Gulf of Finland it is the northernmost capital city of an EU member state.
What is the water cycle?,Continuous movement of water through evaporation condensation and precipitation,The water cycle also known as the hydrological cycle is the continuous movement of water on above and below the surface of the Earth through processes of evaporation transpiration condensation and precipitation.
Who wrote Frankenstein?,Mary Shelley,Frankenstein is a novel by English author Mary Shelley published in 1818. It tells the story of Victor Frankenstein a scientist who creates a creature through an unorthodox scientific experiment.
What is the capital of Austria?,Vienna,Vienna is the capital and largest city of Austria. Located in the northeast of Austria it is the country's cultural economic and political center and was historically the capital of the Habsburg Empire.
What is the doppler effect?,Change in frequency of a wave relative to a moving observer,The Doppler effect is the change in the frequency of a wave in relation to an observer who is moving relative to the source of the wave. It explains why an ambulance siren sounds higher as it approaches.
Who wrote Oliver Twist?,Charles Dickens,Oliver Twist is a novel by Charles Dickens published between 1837 and 1839. It tells the story of an orphan boy who escapes a workhouse and falls in with a gang of pickpockets in London.
What is the capital of Belgium?,Brussels,Brussels is the capital of Belgium. It is also the de facto capital of the European Union housing key EU institutions. The city is known for its art nouveau architecture and chocolate.
What is black hole?,Region of spacetime where gravity is so strong nothing can escape,A black hole is a region of spacetime where gravity is so strong that nothing not even light or other electromagnetic waves has enough speed to escape. They form when massive stars collapse at the end of their life.
Who wrote The Scarlet Letter?,Nathaniel Hawthorne,The Scarlet Letter is a novel by Nathaniel Hawthorne published in 1850. Set in Puritan New England it tells the story of Hester Prynne who conceives a child through an affair and struggles with guilt.
What is the capital of Netherlands?,Amsterdam,Amsterdam is the capital of the Netherlands though the seat of government is in The Hague. Located at the mouth of the Amstel River it is known for its historic canal system.
What is the theory of relativity?,Einstein's theory describing relationship between space time and gravity,Einstein's theory of relativity consists of special relativity and general relativity. Special relativity states that the laws of physics are the same for all non-accelerating observers and that the speed of light is constant.
Who wrote The Catcher in the Rye?,J.D. Salinger,The Catcher in the Rye is a novel by J.D. Salinger published in 1951. Narrated by the rebellious Holden Caulfield it explores themes of teenage angst identity and alienation from society.
What is the capital of Poland?,Warsaw,Warsaw is the capital and largest city of Poland. Located in east-central Poland on the banks of the Vistula river it is the country's political economic and cultural center.
What is evolution?,Change in heritable characteristics of biological populations over generations,Evolution is the change in heritable characteristics of biological populations over successive generations. These characteristics are the expressions of genes that are passed from parent to offspring during reproduction.
Who wrote To Kill a Mockingbird?,Harper Lee,To Kill a Mockingbird is a novel by Harper Lee published in 1960. Set in the American South during the 1930s it deals with serious issues of racial injustice and the loss of innocence as seen through the eyes of Scout Finch.
What is the capital of Czech Republic?,Prague,Prague is the capital and largest city of the Czech Republic. Located on the Vltava River it is known for its well-preserved medieval architecture including Old Town Square and Prague Castle.
What is CRISPR?,Gene editing technology allowing precise modification of DNA sequences,CRISPR-Cas9 is a revolutionary gene editing technology that allows scientists to make precise changes to the DNA of living organisms. It was adapted from a naturally occurring gene editing system in bacteria.
Who wrote The Lord of the Rings?,J.R.R. Tolkien,The Lord of the Rings is an epic high fantasy novel by English author J.R.R. Tolkien published in three volumes between 1954 and 1955. It tells the story of hobbits elves and other creatures in Middle-earth.
What is the capital of Hungary?,Budapest,Budapest is the capital and largest city of Hungary. Formed in 1873 by the unification of three cities Buda Obuda and Pest it is the country's cultural economic and political center.
What is stem cell?,Undifferentiated cell that can develop into specialized cell types,Stem cells are undifferentiated biological cells that can differentiate into specialized cells and can divide to produce more stem cells. They are found in multicellular organisms and are the foundation for all tissues and organs.
Who wrote Brave New World?,Aldous Huxley,Brave New World is a dystopian novel by English author Aldous Huxley published in 1932. Set in a futuristic World State it depicts a highly stratified society where humans are genetically engineered and conditioned.
What is the capital of Romania?,Bucharest,Bucharest is the capital and largest city of Romania. Located in the southern part of the country it is the country's cultural industrial and financial center.
What is photon?,Elementary particle representing quantum of light,A photon is an elementary particle that is the quantum of the electromagnetic field including electromagnetic radiation such as light. It is the force carrier for the electromagnetic force.
Who wrote The Alchemist?,Paulo Coelho,The Alchemist is a novel by Brazilian author Paulo Coelho published in 1988. It tells the story of Santiago an Andalusian shepherd who dreams of finding treasure and follows his Personal Legend.
What is the capital of Ukraine?,Kyiv,Kyiv is the capital and largest city of Ukraine. Located on the Dnieper River it is one of the oldest cities in Eastern Europe with a history dating back to the 5th century.
What is the immune system?,Body system that protects against disease and infection,The immune system is the body's defense system that protects against disease pathogens and other foreign substances. It consists of biological structures and processes that detect and neutralize threats.
Who wrote One Hundred Years of Solitude?,Gabriel Garcia Marquez,One Hundred Years of Solitude is a landmark novel by Colombian author Gabriel Garcia Marquez published in 1967. It tells the multi-generational story of the Buendia family in the fictional town of Macondo.
What is the capital of Serbia?,Belgrade,Belgrade is the capital and largest city of Serbia. Located at the confluence of the Sava and Danube rivers it has been continuously inhabited for thousands of years making it one of the oldest cities in Europe.
What is semiconductor?,Material with electrical conductivity between conductor and insulator,A semiconductor is a material that has electrical conductivity between that of a conductor and an insulator. Semiconductors are the foundation of modern electronics and are used in transistors and microchips.
Who wrote The Old Man and the Sea?,Ernest Hemingway,The Old Man and the Sea is a short novel by Ernest Hemingway published in 1952. It tells the story of Santiago an aging Cuban fisherman who struggles with a marlin far out in the Gulf Stream.
What is the capital of Bulgaria?,Sofia,Sofia is the capital and largest city of Bulgaria. It is located at the foot of Vitosha Mountain in the western part of the country and is Bulgaria's political economic and cultural center.
What is meiosis?,Cell division that produces reproductive cells with half the usual number of chromosomes,Meiosis is a type of cell division that reduces the number of chromosomes in the parent cell by half and produces four gamete cells. It is essential for sexual reproduction.
Who wrote The Bell Jar?,Sylvia Plath,The Bell Jar is the only novel by American author Sylvia Plath published in 1963. It is a semi-autobiographical novel about a young woman's mental breakdown and institutionalization.
What is the capital of Croatia?,Zagreb,Zagreb is the capital and largest city of Croatia. Located in the northwest of the country it is Croatia's political economic and cultural center.
What is superconductivity?,Phenomenon where material conducts electricity with zero resistance,Superconductivity is a phenomenon where certain materials conduct electricity with zero electrical resistance when cooled below a critical temperature. It was discovered by Heike Kamerlingh Onnes in 1911.
Who wrote The Sound and the Fury?,William Faulkner,The Sound and the Fury is a novel by William Faulkner published in 1929. It tells the story of the decline of the Compson family in the American South using multiple narrators and complex narrative techniques.
What is the capital of Slovakia?,Bratislava,Bratislava is the capital and largest city of Slovakia. Located at the southwestern corner of Slovakia along the Danube river it is the country's political cultural and economic center.
What is nanotechnology?,Technology working at the scale of nanometers,Nanotechnology is the manipulation of matter on an atomic molecular and supramolecular scale typically between 1 and 100 nanometers. It has applications in medicine electronics energy and materials science.
Who wrote The Grapes of Wrath?,John Steinbeck,The Grapes of Wrath is a novel by John Steinbeck published in 1939. Set during the Great Depression it follows the Joad family as they migrate from Oklahoma to California seeking a better life.
What is the capital of Slovenia?,Ljubljana,Ljubljana is the capital and largest city of Slovenia. Located in the center of the country it is Slovenia's political cultural and economic hub.
What is dark matter?,Hypothetical matter that does not interact with electromagnetic radiation,Dark matter is a hypothetical form of matter that does not interact with the electromagnetic force but whose presence can be inferred from its gravitational effects on visible matter and light.
Who wrote Invisible Man?,Ralph Ellison,Invisible Man is a novel by Ralph Ellison published in 1952. It tells the story of an unnamed African American man whose race renders him socially invisible. The novel explores race identity and individuality in America.
What is the capital of Estonia?,Tallinn,Tallinn is the capital and largest city of Estonia. Located on the northern coast of Estonia along the Gulf of Finland it is a well-preserved medieval city and major digital society.
What is biofuel?,Fuel derived from biological materials such as plants or animal waste,Biofuel is a type of fuel whose energy is derived from biological carbon fixation. It includes fuels derived from biomass conversion as well as solid biomass liquid fuels and various biogases.
Who wrote The Trial?,Franz Kafka,The Trial is a novel by Franz Kafka published posthumously in 1925. It tells the story of Josef K who is arrested and prosecuted by a mysterious authority for an unknown crime.
What is the capital of Latvia?,Riga,Riga is the capital and largest city of Latvia. Located on the Baltic Sea it is the largest city in the Baltic states and the country's political economic and cultural center.
What is machine learning?,Field of AI that enables computers to learn from data without explicit programming,Machine learning is a branch of artificial intelligence that gives systems the ability to automatically learn and improve from experience without being explicitly programmed. It focuses on developing computer programs that access data and use it to learn.
Who wrote The Metamorphosis?,Franz Kafka,The Metamorphosis is a short story by Franz Kafka published in 1915. It tells the story of salesman Gregor Samsa who wakes up one morning to find himself transformed into a large insect.
What is the capital of Lithuania?,Vilnius,Vilnius is the capital and largest city of Lithuania. Located in the southeastern part of the country at the confluence of the Neris and Vilnia rivers it is Lithuania's political cultural and financial center.
What is artificial intelligence?,Simulation of human intelligence processes by computer systems,Artificial intelligence is the simulation of human intelligence processes by machine especially computer systems. Specific applications include expert systems natural language processing speech recognition and machine vision.
Who wrote Beloved?,Toni Morrison,Beloved is a novel by Toni Morrison published in 1987. Set after the American Civil War it tells the story of Sethe a former enslaved woman haunted by the ghost of her baby daughter.
What is the capital of Iceland?,Reykjavik,Reykjavik is the capital and largest city of Iceland. Located in southwestern Iceland it is the northernmost capital of a sovereign state in the world.
What is blockchain?,Distributed ledger technology recording transactions across multiple computers,Blockchain is a system of recording information in a way that makes it difficult or impossible to change hack or cheat the system. It is a digital ledger of transactions distributed across an entire network of computer systems.
Who wrote The Color Purple?,Alice Walker,The Color Purple is a novel by Alice Walker published in 1982. Set in the rural American South in the early 20th century it chronicles the difficult life of African American women through letters.
What is the capital of Luxembourg?,Luxembourg City,Luxembourg City is the capital of Luxembourg. Located at the confluence of the Alzette and Petrusse rivers it is an international center hosting key institutions of the European Union.
What is virtual reality?,Computer-generated simulation of a three-dimensional environment,Virtual reality is the use of computer technology to create a simulated environment that users can interact with. Unlike traditional user interfaces VR places the user inside an experience.
Who wrote The Stranger?,Albert Camus,The Stranger also known as The Outsider is a novel by French-Algerian author Albert Camus published in 1942. It follows Meursault an indifferent young man who kills a man on a beach in Algeria.
What is the capital of Malta?,Valletta,Valletta is the capital of Malta. It is the smallest capital city in the European Union and one of the most densely populated cities in Europe. It was built by the Knights of Malta in the 16th century.
What is cloud computing?,Delivery of computing services over the internet,Cloud computing is the delivery of different services through the internet including data storage servers databases networking and software. Cloud-based storage makes it possible to save files to a remote database.
Who wrote The Road?,Cormac McCarthy,The Road is a post-apocalyptic novel by Cormac McCarthy published in 2006. It follows a father and his young son as they travel through a bleak devastated America after an unnamed catastrophe.
What is the capital of Monaco?,Monaco,Monaco is both a city-state and its own capital. It is the second smallest country in the world after Vatican City. Located on the French Riviera it is known for its casino and Grand Prix racing.
What is gene therapy?,Treatment of disease by replacing defective genes with functional ones,Gene therapy is the therapeutic delivery of nucleic acid into a patient's cells as a drug to treat disease. It is used to treat or prevent disease by replacing missing or defective genes.
Who wrote For Whom the Bell Tolls?,Ernest Hemingway,For Whom the Bell Tolls is a novel by Ernest Hemingway published in 1940. Set during the Spanish Civil War it follows Robert Jordan an American fighting with guerrilla forces behind enemy lines.
What is the capital of San Marino?,San Marino,San Marino is both a city and the capital of the Republic of San Marino. It is a landlocked country within Italy and one of the world's oldest republics founded in 301 AD.
What is CRISPR-Cas9?,Gene editing tool that cuts DNA at specific locations,CRISPR-Cas9 is a molecular tool used for editing genomes. It allows researchers to easily alter DNA sequences and modify gene function. The Cas9 enzyme acts as molecular scissors to cut DNA at a specific location.
Who wrote The Sun Also Rises?,Ernest Hemingway,The Sun Also Rises is a novel by Ernest Hemingway published in 1926. It follows a group of American and British expatriates who travel from Paris to Pamplona to watch the running of the bulls.
What is the capital of Andorra?,Andorra la Vella,Andorra la Vella is the capital of Andorra. It is the highest capital city in Europe at approximately 1023 meters above sea level. Andorra is a small principality between France and Spain.
What is photon entanglement?,Quantum phenomenon where two photons share quantum states,Quantum entanglement is a phenomenon where two or more particles become connected in such a way that the quantum state of each particle cannot be described independently. Measuring one particle instantly affects the other.
Who wrote Middlemarch?,George Eliot,Middlemarch is a novel by George Eliot the pen name of Mary Ann Evans published in 1871-1872. Set in a fictional English Midlands town it follows multiple characters and themes of political reform marriage and idealism.
What is the capital of Liechtenstein?,Vaduz,Vaduz is the capital of Liechtenstein. It is a small city of about 5000 residents that serves as the governmental and economic center of this tiny principality between Switzerland and Austria.
What is general relativity?,Einstein's theory describing gravity as curvature of spacetime,General relativity is a theory of gravitation published by Albert Einstein in 1915. It proposes that the gravitational force is a result of mass curving the fabric of spacetime rather than a conventional force.
Who wrote Blood Meridian?,Cormac McCarthy,Blood Meridian is a novel by Cormac McCarthy published in 1985. Set in the 1850s it follows a young man known as the Kid through a series of violent encounters along the Texas-Mexico border.
What is the capital of Vatican City?,Vatican City,Vatican City is both a city-state and its own capital. It is the smallest country in the world by both area and population. It is an independent state within Rome and is the headquarters of the Roman Catholic Church.
What is deep learning?,Subset of machine learning using neural networks with many layers,Deep learning is a subset of machine learning in artificial intelligence that has networks capable of learning unsupervised from data that is unstructured or unlabeled. It uses artificial neural networks with many layers.
Who wrote Midnight's Children?,Salman Rushdie,Midnight's Children is a novel by Salman Rushdie published in 1981. It tells the story of Saleem Sinai who is born at the exact moment of India's independence and has telepathic powers.
What is the capital of Kosovo?,Pristina,Pristina is the capital and largest city of Kosovo. Located in the center of Kosovo it is the country's political economic and cultural hub.
What is GDPR?,European regulation protecting personal data and privacy,The General Data Protection Regulation is a regulation in EU law on data protection and privacy for all individuals within the European Union. It came into effect in May 2018 and imposes strict rules on data handling.
Who wrote The English Patient?,Michael Ondaatje,The English Patient is a novel by Canadian author Michael Ondaatje published in 1992. Set at the end of World War II it follows four damaged people sheltering in an Italian villa.
What is the capital of Montenegro?,Podgorica,Podgorica is the capital and largest city of Montenegro. Located in a plain surrounded by mountains it is Montenegro's political cultural and economic center.
What is the Internet of Things?,Network of physical devices connected to the internet,The Internet of Things describes physical objects embedded with sensors software and other technologies for the purpose of connecting and exchanging data with other devices and systems over the internet.
